"projectRcn","projectID","projectAcronym","role","id","name","shortName","activityType","endOfParticipation","ecContribution","country","street","city","postCode","organizationUrl","vatNumber","contactForm","contactType","contactTitle","contactFirstNames","contactLastNames","contactFunction","contactTelephoneNumber","contactFaxNumber"
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"UNIVERSIDADE DE SANTIAGO DE COMPOSTELA",,,,,"ES","Campus Universitario Sur","SANTIAGO DE COMPOSTELA",15782,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE - INRIA",,,,,"FR",,"LE CHESNAY",78153,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"INSTITUTO SUPERIOR TECNICO",,,,,"PT","Avenida Rovisco Pais 1","LISBOA","1049-001",,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"ARISTOTLE UNIVERSITY OF THESSALONIKI",,,,,"EL","University Campus"," Egnatia Street"," Administration","THESSALONIKI",54006,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"NATIONAL RESEARCH COUNCIL OF ITALY",,,,,"IT","Via Ferrata 1","PAVIA",27100,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"INSTITUTE OF FUNDAMENTAL TECHNOLOGICAL RESEARCH - POLISH ACADEMY OF SCIENCES",,,,,"PL",21,"SWIETOKRZYSKA 21","WARSZAWA",49,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"UNIVERSIDAD COMPLUTENSE DE MADRID",,,,,"ES","Ciudad Universitaria","MADRID",28040,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"NATIONAL RESEARCH COUNCIL OF ITALY",,,,,"IT","Viale del Policlinico 137","ROMA",161,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","coordinator",,"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE PARIS",,,,,"FR","Boulevard Blaise Pascal",2,"NOISY-LE-GRAND",93162,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"FORSCHUNGSVERBUND BERLIN E.V.",,,,,"DE","Mohrenstrasse",39,"BERLIN",10117,,,,,,,,,
61178,"HPRI-CT-1999-50007","ARMS","participant",,"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE",,,,,"FR","Complexe scientifique de Rangueil","TOULOUSE",31077,,,,,,,,,,
61178,"HPRI-CT-1999-50007","ARMS","participant",,"KATHOLIEKE UNIVERSITEIT LEUVEN",,,,,"BE","200 D","Celestijnenlaan 200 D","HEVERLEE",3001,,,,,,,,,
61178,"HPRI-CT-1999-50007","ARMS","participant",,"STICHTING KATHOLIEKE UNIVERSITEIT",,,,,"NL",1,"Toernooiveld 1","NIJMEGEN","6525 ED","http://www.ru.nl",,,,,,,,
61178,"HPRI-CT-1999-50007","ARMS","coordinator",,"THE CHANCELLOR"," MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",,,,,"UK","Parks Road","OXFORD","OX1 3PU",,,,,,,,,
61178,"HPRI-CT-1999-50007","ARMS","participant",,"HUMBOLDT-UNIVERSITAET BERLIN",,,,,"DE",110,"Invalidenstrasse 110","BERLIN",10115,,,,,,,,,
61178,"HPRI-CT-1999-50007","ARMS","participant",,"UNIVERSITEIT VAN AMSTERDAM",,,,,"NL","Valckenierstraat 65","AMSTERDAM","1018 XE",,,,,,,,,,
61178,"HPRI-CT-1999-50007","ARMS","participant",,"METIS INSTRUMENTS & EQUIPMENT",,,,,"BE","Kapeldreeef 60","HEVERLEE",3001,"http://www.metis.be",,,,,,,,,
61341,"NNE5/363/2001","TDT-3R MULTI FUEL","participant",,"ENERGY RESEARCH CENTRE OF THE NETHERLANDS","ECN",,,,"NL","Westerduinweg 3","PETTEN",,"http://www.ecn.nl",,,,,,,,,
61341,"NNE5/363/2001","TDT-3R MULTI FUEL","participant",,"ROSTOCK UNIVERSITY",,,,,"DE","Universitaetsplatz 1","ROSTOCK",18055,,,,,,,,,,
61341,"NNE5/363/2001","TDT-3R MULTI FUEL","participant",,"ARISTOTLE UNIVERSITY OF THESSALONIKI",,,,,"EL","University Campus","THESSALONIKI","GR 54124",,,,,,,,,,
61341,"NNE5/363/2001","TDT-3R MULTI FUEL","coordinator",,"TERRA HUMANA CLEAN TECHNOLOGY DEVELOPMENT"," ENGINEERING AND MANUFACTURING LT",,,,,"HU","Szechenyi 59","BUDAPEST",,"http://www.3ragrocarbon.com",,,,,,,,
61341,"NNE5/363/2001","TDT-3R MULTI FUEL","participant",,"CENTRE FOR SOLID FUELS TECHNOLOLGY AND APPLICATIONS",,,,,"EL","Aeval Group"," National Road Ptolemais-Kozani"," 4th Km","Ptolemais","502 00",,,,,,,,
61341,"NNE5/363/2001","TDT-3R MULTI FUEL","participant",,"CEREOL NOEVENYOLAJIPARI RT. MAGYARORSZAG",,,,,"HU","Rumbach Sebestyén u. 19-21","Budapest",1075,,,,,,,,,,
61341,"NNE5/363/2001","TDT-3R MULTI FUEL","participant",,"LATVIAN STATE INSTITUTE OF WOOD",,,,,"LV","Dzerbanes St. 27","Riga",1006,,,,,,,,,,
61341,"NNE5/363/2001","TDT-3R MULTI FUEL","participant",,"UNITED EUROPEAN ENVIRONMENT CONTROLS LIMITED",,,,,"UK","12 Weysprings","HASLEMERE",,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"DIN CERTCO GESELLSCHAFT FUER KONFORMITAETSBEWERTUNG MBH",,,,,"DE","Gartenstr. 133","AALEN",73430,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"CZECH METROLOGICAL INSTITUTE",,,,,"CZ","V Botanice 4","PRAHA 5","150 02",,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"UNOVA U.K. LTD",,,,,"UK","Central Avenue"," Wharley End","CRANFIELD","BEDFORD","MK43 0JR",,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"SWISS FEDERAL OFFICE OF METROLOGY AND ACCREDITATION",,,,,"CH","Lindenweg 50","BERN",3003,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"UNIVERSITY OF ULM",,,,,"DE","Helmhotzstrasse",14,"ULM",89081,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"UNIVERSITY OF ERLANGEN-NUREMBERG",,,,,"DE","Naegelsbachtrasse",25,"ERLANGEN",91052,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"NATIONAL RESEARCH COUNCIL OF ITALY",,,,,"IT","Strada delle Cacce 73","TORINO (TURIN)",10135,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"INSTITUTE OF MECHANICS OF MATERIALS AND GEOSTRUCTURES S.A.",,,,,"EL",22,"Askiton Street 22","ATHENS",15236,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"DANISH INSTITUTE OF FUNDAMENTAL METROLOGY",,,,,"DK",1,"Matematiktorvet 307","LYNGBY",2800,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"TRIMEK SA",,,,,"ES",11,"Camino de la Yesera 2"," Poligono Industrial Islarra","VILLAREAL DE ALAVA",1139,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"PROFACTOR PRODUKTIONSFORSCHUNGS GMBH",,,,,"AT","Im Stadtgut A2","STEYR",4407,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"National Physical Laboratory (NPL)",,,,,"UK","Queen's Road","Teddington","TW11 0LW",,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"INGENIEURBUERO DR. W. KNAPP",,,,,"CH",2,"Geerenweg 2c","SCHLEITHEIM",8226,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"RUBERT & CO. LTD.",,,,,"UK","Acru Works"," Demmings Road","GATLEY","CHEADLE","SK8 2PG",,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"PEDCAD ORTHOPAEDIEPRODUKTE GMBH",,,,,"DE",54,"Heidenheimer Strasse 110","OBERKOCHEN",73447,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"SAMPUTENSILI SPA",,,,,"IT",13,"Via Triumvirato 13","BOLOGNA",40132,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"FUNDACION ASCAMM",,,,,"ES","Av. Universitat Autónoma 23 Parc Tecnológic del Va","CERDANYOLA DEL VALLES",8290,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V.",,,,,"DE","Reichenhainer Straße 88","Chemnitz",9126,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"COMMISSION OF THE EUROPEAN COMMUNITIES",,,,,"IT","Via Enrico Fermi 1","ISPRA",21020,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"UNIMETRIK S.A.",,,,,"ES","Poligono industrial de Gojain"," c/ San Blas 11","VILLAREAL DE ALAVA",1170,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"UNIVERSIDAD DE ZARAGOZA",,,,,"ES","Pedro Cerbuna",12,"ZARAGOZA",50009,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"METRIS N.V.",,,,,"BE","Kapeldreef 60","HEVERLEE",3001,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"EINDHOVEN UNIVERSITY OF TECHNOLOGY",,,,,"NL","Horsten 2","EINDHOVEN","5600 MB",,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"Institute of Communication and Computer Systems",,,,,"EL","Iroon Politechniou Street 9","ATHENS",15780,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"AIBILII - ASSOCIACAO DE APOIOAO INSTITUTO BIOMEDICO DE INVESTIGACAO DA LUZ E IMAGEM",,,,,"PT","Cntm - Azinhaga de Santa Comba"," Celas","COIMBRA","3000-354",,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"Fundación TEKNIKER",,,,,"ES","Avda. Otaola",20,"Eibar",20600,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"EUSPEN LTD",,,,,"UK","Building 70"," Cranfield University Campus","CRANFIELD","BEDFORD","MK43 0AL",,,,,,,,
63349,"G7RT-CT-2002-05086",,"coordinator",,"BREMER INSTITUT FUER BETRIEBSTECHNIK UND ANGEWANDTE ARBEITSWISSENSCHAFT AN DER UNIVERSITAET BREMEN",,,,,"DE",,"BREMEN",28335,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"MAHR GMBH",,,,,"DE","Brauweg 38","GOETTINGEN",37073,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"STIFTUNG FUER LASERTECHNOLOGIEN IN DER MEDIZIN UND MESSTECHNIK AN DER UNIVERSITAET ULM",,,,,"DE","Helmholzstrasse 12","ULM",89081,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"BUNDESREPUBLIK DEUTSCHLAND",,,,,"DE",,"BRAUNSCHWEIG",38116,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"JUSTERVESENET",,,,,"NO","Fetveien 99","KJELLER",2007,,,,,,,,,,
63349,"G7RT-CT-2002-05086",,"participant",,"FEINMESS GMBH & CO. KG",,,,,"DE","Bergstraße 3","Bottenhorn",35080,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"UNIVERSITY OF LEICESTER",,,,,"UK","University Road","LEICESTER","LE1 7RH","http://www.le.ac.uk/",,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"INSTITUTO PALACIOS DE SALUD Y MEDICINA DE LA MUJER",,,,,"ES","JORGE JUAN 36","MADRID",28001,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"WROCLAW MEDICAL UNIVERSITY",,,,,"PL","UL PASTEURA","WROCLAW",,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"VRIJE UNIVERSITEIT MEDICAL CENTER AMSTERDAM",,,,,"NL","DE BOELELAAN 1117","AMSTERDAM","1007 MB",,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"DIPARTIMENTO DI SCIENZE OSTETRICO GINECOLOGICHE UROLOGICHE E MEDICINA DELLA RIPRODUZIONE DELL UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II",,,,,"IT","VIA SERGIO PANSINI 5","NAPOLI",80131,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"DIPARTIMENTO DI INFORMATICA DELL UNIVERSITA DEGLI STUDI DI PISA",,,,,"IT","CORSO ITALIA 40","PISA",56125,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","coordinator",,"DIPARTIMENTO DI MEDICINA DELLA PROCREAZIONE E DELL'ETA EVOLUTIVA DELL UNIVERSITA DEGLI STUDI DI PISA",,,,,"IT","VIA ROMA 67","PISA",56100,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"CFH - CLINICA DE FERMINOLOGIA HOLISTICA"," LDA",,,,,"PT","AV. ANTONIO AUGUSTO DE AGUIAR"," N? .24","2? .DT?","LISBOA","1050-016",,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"MENOPAUSE CLINIC"," RAMAT-MARPE",,,,,"IL","104 JABOTINSKI STREET","RAMAT-GAN",52412,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"H. SAN RAFFAELE RESNATI SPA",,,,,"IT","VIA SANTA CROCE 10A","MILANO",20122,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"BONG COMMUNICATIONS SRL",,,,,"IT","VIA CUGIA 5","CAGLIARI",9129,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"UNIVERSITAETS-FRAUENKLINIK INSELSPITAL BERN",,,,,"CH","SCHANZENECKSTRASSE 1","BERN",3012,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"FREIE UNIVERSITAET BERLIN",,,,,"DE","KAISERSWERTHER STRASSE 16-18","BERLIN",14195,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"UNIVERSITE PARIS 7 DENIS DIDEROT",,,,,"FR","PLACE JUSSIEU 2","PARIS CEDEX 05",75251,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"LUNDS UNIVERSITET",,,,,"SE","PARADISGATAN 5C","LUND","221 00",,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"SYNAPSIS - SOCIETA A RESPONSABILITA LIMITATA",,,,,"IT","VIA PAGANINI NICOLO 3","LIVORNO",57124,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"UNIVERSITA TA MALTA",,,,,"MT",,"MSIDA",6,,,,,,,,,,
61025,"IST-2001-32672","WOMAN II","participant",,"UNIVERSITE DE LIEGE",,,,,"BE","PLACE DU 20 AOUT 7","LIEGE",4000,,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE",,,,,"FR","Parc Valrose","NICE",6108,,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"NATIONAL RESEARCH COUNCIL OF ITALY",,,,,"IT","Via Ferrata 1","PAVIA",27100,,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"FOUNDATION OF RESEARCH AND TECHNOLOGY - HELLAS",,,,,"EL","Vassilika Vouton","IRAKLION",71110,,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"CHALMERS UNIVERSITY OF TECHNOLOGY",,,,,"SE",2,"Sven Hultins gata 2","GOETEBORG","412 96",,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"ECOLE NORMALE SUPERIEURE DE LYON",,,,,"FR","Allee d'Italie 45-47","LYON",69364,,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"UNIVERSITÀ DEGLI STUDI DI FERRARA",,,,,"IT","Via Machiavelli 35","FERRARA",44100,,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"UNIVERSIDAD DE GRANADA",,,,,"ES","Avenida Fuentenueva s/n","GRANADA",18071,,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"UNIVERSITE DE NICE - SOPHIA ANTIPOLIS",,,,,"FR","Avenue de Valrose 28"," Parc Valrose","NICE",6108,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"UNIVERSITÉ DE PARIS IX - DAUPHINE",,,,,"FR","Pl. du Maréchal De Lattre de Tassigny","PARIS",75775,,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"UNIVERSITAT DE VALENCIA",,,,,"ES",50,"C/Dr. Moliner 50","BURJASOT",46100,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"ROYAL INSTITUTE OF TECHNOLOGY",,,,,"SE","Lindstedtsvaegen 3","STOCKHOLM","100 44",,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"UNIVERSITÀ DEGLI STUDI - L'AQUILA",,,,,"IT","Via Vetoio"," Loc. Coppito","L'AQUILA",67100,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"MAX-PLANCK-GESELLSCHAFT ZUR FOERDERUNG DER WISSENSCHAFTEN E.V.",,,,,"DE",22,"Inselstrasse 22","LEIPZIG",4103,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"SAARLAND UNIVERSITY",,,,,"DE","Im Stadtwald"," Geb. 36.1","SAARBRUECKEN",66123,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","participant",,"ECOLE NORMALE SUPERIEURE",,,,,"FR","Rue d'Ulm 45","PARIS",75230,,,,,,,,,,
64284,"HPRN-CT-2002-00282","HYKE","coordinator",,"WOLFGANG PAULI INSTITUTE",,,,,"AT","c/o Institut fuer Mathematik"," Strudlhofgasse 4","WIEN",1090,,,,,,,,,
64861,"FIGH-CT-2002-00210","GEMRATE","coordinator",,"CATHOLIC UNIVERSITY OF NIJMEGEN",,,,,"NL","Geert Grooteplein 29","NIJMEGEN","6500 HB",,,,,,,,,,
64861,"FIGH-CT-2002-00210","GEMRATE","participant",,"BELGIAN NUCLEAR RESEARCH CENTRE",,,,,"BE",200,"Boeretang 200","MOL",2400,,,,,,,,,
64861,"FIGH-CT-2002-00210","GEMRATE","participant",,"LEIDEN UNIVERSITY",,,,,"NL","Wassenaarseweg 72","LEIDEN","2300 RA",,,,,,,,,,
64861,"FIGH-CT-2002-00210","GEMRATE","participant",,"UNIVERSITY OF LEICESTER",,,,,"UK","University Road","LEICESTER","LE1 7RH",,,,,,,,,,
64861,"FIGH-CT-2002-00210","GEMRATE","participant",,"ITALIAN AGENCY FOR NEW TECHNOLOGY"," ENERGY AND THE ENVIRONMENT",,,,,"IT","Via Anguillarese 301","ROMA",60,,,,,,,,,
65196,"FIR1-CT-2002-20213","GENEPI - ENTB","coordinator",,"EUROPEAN SOCIETY FOR THERAPEUTIC RADIOLOGY AND ONCOLOGY",,,,,"BE","Av. E. Mounier"," 83/4","BRUXELLES",1200,,,,,,,,,
65196,"FIR1-CT-2002-20213","GENEPI - ENTB","participant",,"UNIVERSITY HOSPITAL GASTHUISBERG",,,,,"BE","Herestraat 49","LOUVAIN / LEUVEN",3000,,,,,,,,,,
65196,"FIR1-CT-2002-20213","GENEPI - ENTB","participant",,"DRESDEN UNIVERSITY OF TECHNOLOGY",,,,,"DE","Fetscherstrasse 74","WEISSIG - DRESDEN",1307,,,,,,,,,,
65196,"FIR1-CT-2002-20213","GENEPI - ENTB","participant",,"GRAY LABORATORY CANCER RESEARCH TRUST",,,,,"UK","Mount Vernon Hospital","NORTHWOOD","HA6 2JR",,,,,,,,,,
65196,"FIR1-CT-2002-20213","GENEPI - ENTB","participant",,"EUROPEAN ORGANIZATION FOR RESEARCH AND TREATMENT OF CANCER",,,,,"BE",125,"Avenue E.Mounier 83","BRUXELLES",1200,,,,,,,,,
65196,"FIR1-CT-2002-20213","GENEPI - ENTB","participant",,"FONDATION JEAN DAUSSET - CENTRE D'ETUDE DU POLYMORPHISME HUMAIN",,,,,"FR","Rue Juliette Dodu 27","PARIS",75010,,,,,,,,,,
64906,"FIGH-CT-2002-00209","CDR-REP+","participant",,"BUNDESAMT FUER STRAHLENSCHUTZ",,,,,"DE",1,"Ingolstädter Landstraße 1","OBERSCHLEISSHEIM",85764,,,,,,,,,
64906,"FIGH-CT-2002-00209","CDR-REP+","participant",,"LUDWIG-MAXIMILIANS UNIVERSITY OF MUNICH",,,,,"DE","Schillerstrasse 42","MUENCHEN",80336,,,,,,,,,,
64906,"FIGH-CT-2002-00209","CDR-REP+","participant",,"SOUTHERN URAL BIOPHYSICS INSTITUTE",,,,,"RU","Ozyorsk Shosse 19","OZYORSK",456780,,,,,,,,,,
64906,"FIGH-CT-2002-00209","CDR-REP+","participant",,"URALS RESEARCH CENTRE FOR RADIATION MEDICINE",,,,,"RU","Medgorodok","CHELYABINSK",454076,,,,,,,,,,
64906,"FIGH-CT-2002-00209","CDR-REP+","participant",,"INSTITUTE OF REGIONAL MEDICO-ECOLOGICAL PROBLEMS",,,,,"RU",126,"Papanintsev Street 126","BARNAUL",656043,,,,,,,,,
64906,"FIGH-CT-2002-00209","CDR-REP+","coordinator",,"KAROLINSKA INSTITUTE",,,,,"SE","Doktorsringen 5","Stockholm","171 71",,,,,,,,,,
65184,"FIGH-CT-2002-20206","CHILD-THYR","participant",,"MEDICAL RADIOLOGICAL RESEARCH CENTRE - RUSSIAN ACADEMY OF SCIENCES",,,,,"RU",4,"Koroleva Street 4","OBNINSK",249020,,,,,,,,,
65184,"FIGH-CT-2002-20206","CHILD-THYR","coordinator",,"INTERNATIONAL AGENCY FOR RESEARCH ON CANCER",,,,,"FR",150,"Cours Albert-Thomas 150","LYON",69372,,,,,,,,,
65184,"FIGH-CT-2002-20206","CHILD-THYR","participant",,"INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE",,,,,"FR","Rue Camille Desmoulins 39"," Institut Gustave Roussy","VILLEJUIF",94805,,,,,,,,,
65184,"FIGH-CT-2002-20206","CHILD-THYR","participant",,"MARIO NEGRI INSTITUTE FOR PHARMACOLOGICAL RESEARCH",,,,,"IT","Via Eritrea 62","MILANO",20157,"http://www.irfmn.mnegri.it",,,,,,,,,
65184,"FIGH-CT-2002-20206","CHILD-THYR","participant",,"BELARUSSIAN CENTER FOR MEDICAL TECHNOLOGIES"," COMPUTER SYSTEMS"," ADMINISTRATION AND MANAGEMENT OF HEALTH",,,,,"BY","P. Brovki Str.","MINSK",220600,,,,,,,,
65184,"FIGH-CT-2002-20206","CHILD-THYR","participant",,"KAROLINSKA INSTITUTE",,,,,"SE","Doktorsringen 5","Stockholm","171 71",,,,,,,,,,
65184,"FIGH-CT-2002-20206","CHILD-THYR","participant",,"GRAY LABORATORY CANCER RESEARCH TRUST",,,,,"UK","Mount Vernon Hospital","NORTHWOOD","HA6 2JR",,,,,,,,,,
65144,"FIR1-CT-2002-20211","ACTINET","participant",,"ECOLE NATIONALE SUPÉRIEURE DES TECHNIQUES INDUSTRIELLES ET DES MINES DE NANTES",,,,,"FR","Rue Alfred Kastler 4","NANTES",44307,,,,,,,,,,
65144,"FIR1-CT-2002-20211","ACTINET","participant",,"University of Manchester",,,,,"UK","Oxford Road","Manchester","M13 9PL",,,,,,,,,,
65144,"FIR1-CT-2002-20211","ACTINET","participant",,"ASSOCIATION POUR LA RECHERCHE ET LE DEVELOPPEMENT DES METHODES ET PROCESSUS INDUSTRIELS",,,,,"FR","Rue Alfred Kastler 4","NANTES",44307,,,,,,,,,,
65144,"FIR1-CT-2002-20211","ACTINET","participant",,"COMMISSION OF THE EUROPEAN COMMUNITIES",,,,,"DE","Hermann-von-Helmholtz Platz 1","KARLSRUHE",76125,,,,,,,,,,
65144,"FIR1-CT-2002-20211","ACTINET","participant",,"COMMISSARIAT A L'ENERGIE ATOMIQUE",,,,,"FR","Saclay / Bâtiment 121","GIF SUR YVETTE",91191,,,,,,,,,,
65144,"FIR1-CT-2002-20211","ACTINET","participant",,"RESEARCH CENTER ROSSENDORF",,,,,"DE","Bautzener Strasse 128","WEISSIG - DRESDEN",1314,,,,,,,,,,
65144,"FIR1-CT-2002-20211","ACTINET","participant",,"PAUL SCHERRER INSTITUT",,,,,"CH",,"VILLIGEN",5232,,,,,,,,,,
65144,"FIR1-CT-2002-20211","ACTINET","coordinator",,"FORSCHUNGSZENTRUM KARLSRUHE GMBH - TECHNIK UND UMWELT",,,,,"DE","Herrmann-von-Helmholtz-Platz 1","EGGENSTEIN-LEOPOLDSHAFEN",76344,,,,,,,,,,
65118,"FIKS-CT-2002-80133","EUROSAFE 2002/3","participant",,"PROVENCE TRADUCTION",,,,,"FR","Place de la Joliette",10,"MARSEILLE",13567,,,,,,,,,
65118,"FIKS-CT-2002-80133","EUROSAFE 2002/3","participant",,"INTERSIGNE",,,,,"FR","Rue Henri Barbusse","CLICHY",92110,,,,,,,,,,
65118,"FIKS-CT-2002-80133","EUROSAFE 2002/3","participant",,"EURO RSCG CORPORATE PUBLISHING",,,,,"FR","Rue de Villers 84","LEVALLOIS PERRET",92683,,,,,,,,,,
65118,"FIKS-CT-2002-80133","EUROSAFE 2002/3","coordinator",,"INSTITUT DE RADIOPROTECTION ET DE SURETE NUCLEAIRE",,,,,"FR","Av. du General De Gaule 77/83","CLAMART",92140,,,,,,,,,,
65118,"FIKS-CT-2002-80133","EUROSAFE 2002/3","participant",,"GESELLSCHAFT FUER ANLAGEN- UND REAKTORSICHERHEIT (GRS) MBH",,,,,"DE","Schwertnergasse 1","KOELN",50667,,,,,,,,,,
63459,"G1RD-CT-2001-00588","AUTOCON","participant",,"DAIMLERCHRYSLER AG",,,,,"DE","Epplestrasse 225","STUTTGART",70546,,,,,,,,,,
63459,"G1RD-CT-2001-00588","AUTOCON","participant",,"LEONI FLEX S.A.",,,,,"FR","Route de Guewenheim 5","BURNHAUPT LE HAUT",68520,,,,,,,,,,
63459,"G1RD-CT-2001-00588","AUTOCON","participant",,"RICHARD HIRSCHMANN AUSTRIA GMBH",,,,,"AT","Oberer Paspelsweg 6-8","RANKWEIL",6830,,,,,,,,,,
63459,"G1RD-CT-2001-00588","AUTOCON","participant",,"PEUGEOT CITROEN AUTOMOBILES S.A.",,,,,"FR","Boulevard du Chateau 65","NEUILLY SUR SEINE",92200,,,,,,,,,,
63459,"G1RD-CT-2001-00588","AUTOCON","participant",,"LEAR AUTOMOTIVE EEDS SPAIN S.L.",,,,,"ES","Paseo de la Estacion 16","VALLS",43800,,,,,,,,,,
63459,"G1RD-CT-2001-00588","AUTOCON","coordinator",,"UNIVERSITY OF SOUTHAMPTON",,,,,"UK","University Road"," Highfield","SOUTHAMPTON","SO17 1BJ",,,,,,,,,
63459,"G1RD-CT-2001-00588","AUTOCON","participant",,"STEINBEIS GMBH & CO FUER TECHNOLOGIETRANSFER",,,,,"DE","Willi-Bleicher-strasse 19","STUTTGART",70174,,,,,,,,,,
63459,"G1RD-CT-2001-00588","AUTOCON","participant",,"AIRBUS FRANCE SAS",,,,,"FR","Route de Bayonne 316","TOULOUSE",31060,,,,,,,,,,
63459,"G1RD-CT-2001-00588","AUTOCON","participant",,"UNIVERSITE DE RENNES 1",,,,,"FR","Rue du Thabor 2",,"RENNES",35065,,,,,,,,,
