indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
ERN,Y15-19,G-J,T,TOTAL,PPS,2018	: 	8.12 	10.8 	: 	19.99 	9.2 	17.81 	12.15 	: 	: 	12.04 	9.54 	8.61 	: 	8.71 	: 	17.19 	: 	12.08 	: 	: 	12.62 	9.4 	: 	: 	16.37 	: 	21.43 	23.56 	: 	: 
ERN,Y15-19,G-S,F,GE10,EUR,2018	: 	3.67 	7.44 	30.23 	20.69 	7.48 	26.42 	12.82 	17.45 	17.21 	15.41 	6.68 	5.83 	30.2 	5.9 	13.44 	20.43 	: 	7.64 	: 	6.9 	10.87 	6.57 	20.17 	20.1 	19.53 	27.29 	30.19 	35.26 	: 	3.66 
ERN,Y15-19,G-S,F,GE10,NAC,2018	: 	7.19 	190.7 	225.28 	20.69 	7.48 	26.42 	12.82 	17.45 	17.21 	15.41 	6.68 	5.83 	30.2 	1882.64 	13.44 	20.43 	: 	32.56 	: 	32.09 	10.87 	6.57 	20.17 	206.2 	17.28 	3490.68 	289.75 	40.73 	: 	433.24 
ERN,Y15-19,G-S,F,GE10,PPS,2018	: 	7.06 	10.13 	21.35 	19.37 	9.01 	19.91 	13.39 	15.36 	16.63 	17.14 	8.73 	8.58 	23.32 	9.16 	15.78 	17.69 	: 	12.83 	: 	12.75 	12.46 	8.24 	16.01 	16.26 	16.26 	16.81 	19.99 	22.61 	: 	6.58 
ERN,Y15-19,G-S,F,TOTAL,EUR,2018	: 	3.49 	7.14 	: 	19.92 	7.16 	25.86 	12.45 	: 	: 	13.8 	6.62 	5.61 	: 	5.81 	: 	20.12 	: 	7.59 	: 	: 	10.56 	6.52 	: 	: 	19.29 	: 	30.09 	34.87 	: 	: 
ERN,Y15-19,G-S,F,TOTAL,NAC,2018	: 	6.83 	183.18 	: 	19.92 	7.16 	25.86 	12.45 	: 	: 	13.8 	6.62 	5.61 	: 	1852.72 	: 	20.12 	: 	32.34 	: 	: 	10.56 	6.52 	: 	: 	17.07 	: 	288.82 	40.28 	: 	: 
ERN,Y15-19,G-S,F,TOTAL,PPS,2018	: 	6.71 	9.73 	: 	18.65 	8.63 	19.48 	13 	: 	: 	15.35 	8.65 	8.26 	: 	9.01 	: 	17.42 	: 	12.74 	: 	: 	12.11 	8.19 	: 	: 	16.06 	: 	19.93 	22.36 	: 	: 
ERN,Y15-19,G-S,M,GE10,EUR,2018	: 	4.51 	9.94 	37.9 	26.91 	9.56 	32.43 	15.35 	21.53 	19.39 	16.6 	8.59 	6.81 	35.35 	6.78 	15.77 	24.88 	: 	8.28 	: 	7 	12.94 	8.82 	25.55 	24.5 	25.63 	37.58 	37.84 	48.88 	: 	4.09 
ERN,Y15-19,G-S,M,GE10,NAC,2018	: 	8.82 	254.93 	282.48 	26.91 	9.56 	32.43 	15.35 	21.53 	19.39 	16.6 	8.59 	6.81 	35.35 	2163.22 	15.77 	24.88 	: 	35.28 	: 	32.59 	12.94 	8.82 	25.55 	251.36 	22.67 	4806.25 	363.2 	56.46 	: 	483.58 
ERN,Y15-19,G-S,M,GE10,PPS,2018	: 	8.67 	13.54 	26.78 	25.19 	11.52 	24.44 	16.04 	18.95 	18.74 	18.46 	11.23 	10.02 	27.3 	10.52 	18.52 	21.54 	: 	13.91 	: 	12.94 	14.84 	11.07 	20.28 	19.82 	21.34 	23.15 	25.06 	31.34 	: 	7.35 
ERN,Y15-19,G-S,M,TOTAL,EUR,2018	: 	4.3 	9.32 	: 	26.49 	8.81 	30.5 	14.79 	: 	: 	14.77 	7.92 	6.51 	: 	6.62 	: 	25.35 	: 	8.23 	: 	: 	12.63 	8.56 	: 	: 	25.23 	: 	37.58 	48.51 	: 	: 
